id,ano,status,ementa,autor,url
448285,2009,Arquivada,"Altera o art. 214 do Código de Trânsito Brasileiro, instituído pela Lei nº 9.503, de 23 de setembro de 1997.",Vital do Rêgo Filho,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=686767
452939,2009,Arquivada,"Concede isenção do Imposto sobre Produtos Industrializados incidente sobre motocicletas e bicicletas e reduz a zero as alíquotas da Contribuição para o PIS/PASEP e da Contribuição para o Financiamento da Seguridade Social (COFINS) incidentes sobre a receita bruta decorrente da venda, no mercado interno, desses bens, quando adquiridos por Agentes Comunitários de Saúde.",Elizeu Aguiar,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=696742
459345,2009,Arquivada,"Acrescenta inciso ao art. 181, da Lei nº 9.503, de 23 de setembro  de 1997, que institui o Código de Trânsito Brasileiro, para dispor sobre a infração por estacionar veículo em local que especifica.",Camilo Cola,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=713004
459346,2009,Tramitando em Conjunto,"Altera a redação do caput do art. 320 da Lei nº 9.503, de 23 de setembro de 1997, que institui o Código de Trânsito Brasileiro, para dispor sobre a aplicação dos recursos arrecadados com a cobrança das multas de trânsito.",Camilo Cola,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=1273537
459347,2009,Arquivada,"Acrescenta inciso ao art. 202 da Lei nº 9.503, de 23 de setembro de 1997, que institui o Código de Trânsito Brasileiro, para dispor sobre a infração por ultrapassar outro veículo em local que especifica.",Camilo Cola,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=713008
461042,2009,Transformado em Norma Jurídica,"Institui o Programa Bicicleta Brasil, para incentivar o uso da bicicleta visando a melhoria das condições de mobilidade urbana.",Jaime Martins,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=717079
465016,2009,Arquivada,Reduz a zero as alíquotas da Contribuição para o PIS/PASEP e da COFINS incidentes sobre operações com bicicletas e outros ciclos sem motor e com partes e acessórios de motocicletas e bicicletas.,Marinha Raupp,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=727384
466364,2010,Arquivada,Estabelece procedimentos para o transporte de bicicletas nos ônibus utilizados nos serviços de transporte interestadual e internacional de passageiros.,Rodrigo Rollemberg,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=733894
473281,2010,Arquivada,"Altera a Lei nº 9.503, de 23 de setembro de 1997, que institui o Código de Trânsito Brasileiro, para desobrigar as bicicletas do registro e do licenciamento.",Arolde de Oliveira,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=754922
497147,2011,Aguardando Designação de Relator,"Concede isenção do Imposto sobre Produtos Industrializados incidentes sobre motocicletas e bicicletas e reduz a zero as alíquotas da Contribuição para o PIS/PASEP e da Contribuição para o Financiamento da Seguridade Social (COFINS) incidentes sobre a receita bruta decorrente da venda, no mercado interno, desses bens, quando adquiridos por Agente Comunitário de Saúde e por Agente de Combate às Endemias.",Geraldo Resende,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=856084
497544,2011,Tramitando em Conjunto,"Concede isenção do Imposto sobre Produtos Industrializados incidente sobre a receita bruta decorrente da venda de motocicletas e bicicletas e reduz a zero as alíquotas da Contribuição para o PIS/PASEP e da Contribuição para o Financiamento da Seguridade Social (COFINS), quando adquiridos por Agentes Comunitários de Saúde e Agentes de Combate às Endemias.",Raimundo Gomes de Matos,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=856964
502177,2011,Arquivada,Dispõe sobre a criação do Estatuto dos Sistemas Cicloviários e dá outras providências.,Lucio Vieira Lima,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=871127
505170,2011,Arquivada,"Altera a redação do art. 338 da Lei nº 9.503, de 23 de setembro de 1997, que institui o Código de Trânsito Brasileiro, para obrigar os importadores e fabricantes de bicicletas a fornecer, no ato da comercialização do veículo, manual contendo normas de circulação, penalidades, direção defensiva, primeiros socorros e Anexos do Código de Trânsito Brasileiro.",Mauro Mariani,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=880665
525881,2011,Aguardando Designação de Relator,Obriga a inclusão de ciclovias quando do projeto e da execução de obras rodoviárias federais.,Fábio Faria,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=934787
533028,2011,Arquivada,"Acrescenta dispositivo ao art. 41 da Lei nº 10.257, de 10 de julho de 2001, (Estatuto da Cidade), para fixar diretriz aplicável aos planos de transporte urbano integrados.",Aguinaldo Ribeiro,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=955011
537576,2012,Tramitando em Conjunto,"Dispõe sobre a isenção dos impostos federais incidentes sobre equipamentos de segurança obrigatórios para motocicletas, motonetas e bicicletas, e dá outras providências.",Onofre Santo Agostini,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=971533
539910,2012,Aguardando Designação de Relator,"Concede isenção do Imposto sobre Produtos Industrializados incidentes sobre motocicletas e bicicletas e reduz a zero as alíquotas da Contribuição para o PIS/PASEP e da Contribuição para o Financiamento da Seguridade Social (COFINS) incidentes sobre a receita bruta decorrente da venda, no mercado interno, desses bens, quando adquiridos por agentes comunitários de saúde.",Chico D'Angelo,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=977020
